OrderID	OrderDate	CustomerName	PhoneNumber	DeliveryAddressLine1	DeliveryAddressLine2	CityName	StockItemID	Quantity	UnitPrice
63968	2016-01-01	Matteo Cattaneo	(229) 555-0100	Shop 2	1319 Kristiina Lane	Nicholson	24	8	13
63968	2016-01-01	Matteo Cattaneo	(229) 555-0100	Shop 2	1319 Kristiina Lane	Nicholson	81	108	18
63968	2016-01-01	Matteo Cattaneo	(229) 555-0100	Shop 2	1319 Kristiina Lane	Nicholson	194	96	4.1
63968	2016-01-01	Matteo Cattaneo	(229) 555-0100	Shop 2	1319 Kristiina Lane	Nicholson	151	7	16
63969	2016-01-01	Tailspin Toys (Sans Souci, SC)	(803) 555-0100	Shop 104	1889 Smirnov Road	Sans Souci	147	48	18
63969	2016-01-01	Tailspin Toys (Sans Souci, SC)	(803) 555-0100	Shop 104	1889 Smirnov Road	Sans Souci	7	6	32
63969	2016-01-01	Tailspin Toys (Sans Souci, SC)	(803) 555-0100	Shop 104	1889 Smirnov Road	Sans Souci	106	7	35
63970	2016-01-01	Wingtip Toys (Birds, IL)	(217) 555-0100	Shop 146	520 Matos Lane	Birds	157	50	30
63970	2016-01-01	Wingtip Toys (Birds, IL)	(217) 555-0100	Shop 146	520 Matos Lane	Birds	110	3	25
63970	2016-01-01	Wingtip Toys (Birds, IL)	(217) 555-0100	Shop 146	520 Matos Lane	Birds	142	72	18
63970	2016-01-01	Wingtip Toys (Birds, IL)	(217) 555-0100	Shop 146	520 Matos Lane	Birds	116	5	34
63971	2016-01-01	Wingtip Toys (Berville, MI)	(231) 555-0100	Unit 38	824 Padilla Crescent	Berville	7	10	3.2
63971	2016-01-01	Wingtip Toys (Berville, MI)	(231) 555-0100	Unit 38	824 Padilla Crescent	Berville	131	2	32
63971	2016-01-01	Wingtip Toys (Berville, MI)	(231) 555-0100	Unit 38	824 Padilla Crescent	Berville	176	4	240
63971	2016-01-01	Wingtip Toys (Berville, MI)	(231) 555-0100	Unit 38	824 Padilla Crescent	Berville	178	75	2.55
63972	2016-01-01	Malorie Bousquet	(209) 555-0100	Suite 16	852 Ribeiro Avenue	Valley View Park	15	9	240
63972	2016-01-01	Malorie Bousquet	(209) 555-0100	Suite 16	852 Ribeiro Avenue	Valley View Park	109	8	25
63972	2016-01-01	Malorie Bousquet	(209) 555-0100	Suite 16	852 Ribeiro Avenue	Valley View Park	70	4	230
63972	2016-01-01	Malorie Bousquet	(209) 555-0100	Suite 16	852 Ribeiro Avenue	Valley View Park	3	30	18.5
